Feature,RandomForest_Importance,XGBoost_Importance
day_of_week,0.05465268945601014,0.22825845
iot_temperature,0.0460834137192684,0.03396635
fuel_consumption_rate,0.044325497941354416,0.032768972
warehouse_inventory_level,0.041639879324089364,0.028774688
eta_variation_hours,0.0411603396203758,0.02918335
fatigue_monitoring_score,0.0403218628989871,0.02849188
cargo_condition_status,0.040253098269152854,0.029556597
month,0.039939034226214594,0.10268278
route_risk_level,0.03983702996934302,0.026816059
port_congestion_level,0.03969504823674048,0.027817227
handling_equipment_availability,0.03961430222333731,0.027177878
order_fulfillment_status,0.03915351870927345,0.02907164
customs_clearance_time,0.03844553684307543,0.027234502
loading_unloading_time,0.038340230455633416,0.026752122
lead_time_days,0.03787027195691826,0.026389508
historical_demand,0.03763314560605741,0.027555402
driver_behavior_score,0.03744537040979722,0.026190229
weather_condition_severity,0.03727405286179452,0.024943719
hour,0.03661473334774428,0.04497911
shipping_costs,0.035832082845425044,0.024587523
supplier_reliability_score,0.03482198112008025,0.023873245
traffic_congestion_level,0.034163272265476524,0.026355462
demand_x_reliability,0.033425206021816985,0.024675418
congestion_ratio,0.03290764141868443,0.023376238
cost_per_lead_day,0.03278855095121947,0.022579715
location_cluster,0.025762209302129822,0.025941888
